,sentence,entities
389,"This
study also found that these effects directly mediated enhanced cellsurvival in hypoxic conditions.",['This']
390,"DMT and 5-MeO-DMT stimulation
of Sig1 receptors has also been shown to inhibit pro-in ﬂammatory
cytokine production and T-cell priming capacity of monocyte-derived dendritic cells ( Szabo et al., 2014 ).","['cytokine', 'Szabo', 'receptor']"
391,"Given that Sig-1R
agonists have been shown to attenuate stimulation has also beenshown to attenuate excitotoxicity and reduce the ﬁring rate in motor
neurons in vitro , compounds like DMT and 5-MeO-DMT may also
provide neuroprotective effects against excitotoxicity following TBI.
Brain injuries often involve ischemia, during which the sudden
deprivation of oxygen and glucose can trigger a spreading
depolarization (SD), i.e., a slow recurrent wave of intenseneuronal and glial mass-depolarization of depolarization, whichcan propagate across the brain ( Chung et al., 2016 ).","['Sig', 'Chung', 'Brain', 'Given']"
392,"Notably,
in a rodent model of cerebral forebrain ischedmia with recurrent
pharmacological induction of SDs, DMT pre-treatment was shownto decrease the amplitude, rate, and cumulative duration of SDs, andin turn promote neuron and astrocyte survival ( Szabó et al., 2021 ).
This study also found that Sig-1Rs, but not 5-HT receptors, werenecessary for the attenuation of SD amplitude, rate, and duration.
Select psychedelics may also be capable of modulating the
functionality of glial cells, whose normal functions are highly
altered following TBI.","['This', 'Notably', 'Sig', 'Select', 'receptor']"
393,"For instance, harmine has been shown in
vivo to exert neuroprotective effects following TBI.",['For']
394,"Speci ﬁcally,
harmine seems to attenuate in ﬂammatory signaling and
neurotoxicity in the hippocampus by increasing expression ofastrocytic glutamate transporter 1 (GLT-1) to levels comparableto non-injured animals by 5 days-post-injury ( Zhong et al., 2015 ).
Improved neuronal survival and attenuated neuronal excitabilitymay have also mediated the reported improvements in learning and
memory ( Zhong et al., 2015 ).","['Zhong', 'Improved', 'Speci']"
395,"Psilocin and DMT have also been
shown to modulate functionality of activated microglia.",['Psilocin']
396,"Speci ﬁcally,
both compounds seemed to attenuate microglial phagocytosis andinﬂammatory signaling, which subsequently improved neuronal
survival in microglia-neuron cocultures ( Koz łowska et al., 2021 ).
Overall, these ﬁndings suggests a therapeutic potential of an
ayahuasca brew with a potentially optimal concentration ofharmine and DMT.","['Koz', 'Overall', 'Speci']"
397,"Indeed, the synergistic potential of these
compounds in the context of TBI should be investigated.
TBI can modulate seizure thresholds and predispose networks to
hyperexcitability via multiple mechanisms, such as loss of inhibitoryneurons, enhanced excitatory connectivity and glutamate release,
Frontiers in Pharmacology frontiersin.org 19Acero et al.","['Pharmacology', 'Indeed', 'Frontiers']"
398,"Dynorphins, a family of endogenous
neuropeptide KOR ligands, play an important role as regulatorsof neuronal excitability, and thus epileptic activity.",['Dynorphins']
399,"Also, salvinorin
A administration following 6-Hz psychomotor stimulation and
pentylenetetrazol injection acute seizure paradigms in a non-
diseased mouse model has been shown to have no impact onseizure threshold activity.",['Also']
400,"However, these epilepsy models fail torecapitulate the relevant pathophysiology and are not as informativefor post-traumatic epilepsy (PTE) prevention ( Mosini et al., 2020 ;
Soca ła et al., 2020 ).
In the days and weeks following TBI, cortical and hippocampal
neurons exhibit dendritic fragmentation, decreased dendritic
branching, and a lower density of dendritic spines ( Gao et al.,
2011 ;Ratliff et al., 2020 ).","['Ratliff', 'Gao', 'Mosini', 'Soca', 'However', 'epilepsy']"
401,"Recovery from TBI is primarily driven
by endogenous neuroplasticity mechanisms.",['Recovery']
402,"Psychedelics canincrease dendritic arborization complexity, spinogenesis, andsynaptogenesis, which may help attenuate cognitive de ﬁcits
associated with TBI-related dendritic and spine degeneration, aswell as increase the ceiling for and rate of recovery.","['Psychedelics', 'gene']"
403,"The ability forpsychedelics to induce plasticity is mediated through activation of
BDNF ’s high-af ﬁnity receptor TrkB and downstream mTOR
signaling.","['receptor', 'The']"
404,"In fact, BDNF levels are also increased in the 24 h afterTBI as an endogenous neuroprotective response, and administrationof BDNF in brain has been shown to signi ﬁcantly attenuate TBI-
induced neurological and cognitive ( Wurzelmann et al., 2017 ).
Although, BDNF ’s short-half life and BBB impermeability
renders it clinically unviable, direct stimulation of the high-afﬁnity BDNF receptor, TrkB, has been shown to produce
comparable functional recovery ( Krishna et al., 2018 ).","['Wurzelmann', 'receptor', 'Krishna', 'Although']"
405,"For example, Bar-Kochba et al developed a
3Din vitro compression model of TBI that could generate distinct
levels of injury severity ( Bar-Kochba et al., 2016 ).","['Kochba', 'gene', 'Bar', 'For']"
406,"Alternatively, our
group has utilized an electro-mechanical cell shearing device thatcan reliably reproduce biomimetic strain ﬁelds as a heterogeneous
function of tensile, compressive, and shear strains generated within3D cell cultures ( LaPlaca et al., 2005 ;Cullen and LaPlaca, 2006 ;
Cullen et al., 2007 ;Bar-Kochba et al., 2016 ).","['Cullen', 'Alternatively', 'gene', 'Kochba', 'Bar']"
407,"Nonetheless, animal
models, typically rodents, are also crucial in preclinical TBI research.
Controlled cortical impact (CCI) and lateral ﬂuid percussion injury
(LFPI) paradigms are both standard in TBI research for modellingfocal injury and diffuse injury respectively ( Cullen et al., 2016 ).
These animal models would be ideal for assessing the capacity ofpsychedelics, administered at various timepoints relative to theinjury, to attenuate in ﬂammation and improve recovery
following TBI.
If psychedelics can attenuate a chronic pro-in ﬂammatory state,
improve BBB integrity, and potentiate neuroplasticity, they could
have pharmacological utility in the treatment of TBI.","['Nonetheless', 'Controlled', 'These', 'Cullen']"
408,"Indeed, there isevidence from in vivo ketamine TBI studies that indicate that some
modes of action for psychedelics may serve to attenuate chronicdamage and enhance functional recovery ( Peters et al., 2018 ).
Comparative assessments of the ef ﬁcacy of different psychedelic
compounds, acute versus chronic drug administration, and various
timings for starting pharmacotherapy should be the focus of futurestudies.
4.2.2 Stroke
Stroke is an acute cerebrovascular injury caused by an event that
decreases blood ﬂow to the brain leading to ischemia ( Wurzelmann
et al., 2017 ).","['Peters', 'Wurzelmann', 'Stroke', 'Indeed', 'Comparative']"
409,"Ischemia can impair artery autoregulative function,
induce neuronal loss, cause in ﬂammation, and impair BBB
permeability, leading to chronic complications.",['Ischemia']
410,"Treatment focuseson restoring blood ﬂow using thrombolysis (via administration of
tissue plasminogen activator), or in more severe cases
thrombectomy, to minimize extent of acute ischemic injury;
however, only a relatively small portion of the patient populationcan receive these therapeutic interventions ( Wu et al., 2020 ).",['Treatment']
411,"There
is a pressing need for pharmacotherapy that can improve blood ﬂow
immediately after injury, while also attenuating chronicinﬂammation and neurological dysfunction.",['There']
412,"Unfortunately, while
thousands of therapeutic compounds and strategies have beensuccessfully tested in animal models, none have translated into
clinical care settings.
Administration of salvinorin A has been shown to preserve
artery autoregulative function, reduce infarct size, and protect BBBintegrity in piglet models of ischemic stroke ( Su et al., 2012 ;Wang
et al., 2012 ;Chen et al., 2014 ;Grothusen and Liu, 2019 ).","['Administration', 'Liu', 'Grothusen', 'Wang', 'Chen', 'Unfortunately']"
413,"Moreover,
salvinorin A is an extremely potent vascular dilator, even underhypocarbia and endothelin induced vasoconstrictive conditions ( Su
et al., 2011 ).",['Moreover']
414,"Salvinorin A preserves cerebrovascular function in part
by stimulating nitric oxide (NO) production and activation of
endothelial nitric oxide synthase (NOS).",['Salvinorin']
415,"Endogenous elevationendothelial NOS levels in microvasculature following strokeinjury are thought to confer a protective effect from secondaryinjury, so it is possible salvinorin A is enhancing this endogenousmechanism.",['Endogenous']
416,"Acute intranasal administration of salvinorin A wasalso shown to reduce infarct volume and improve neurologicaloutcomes in a rhesus monkey ischemic stroke model ( Wu et al.,
2020 ).",['Acute']
417,"Salvinorin A might be most advantageous administered
immediately after injury, while patients await pre-surgical CTscans, because it will immediately restore blood ﬂow and could
provide neuroprotective effects.
Following stroke, microglia and in ﬁltrating immune cells, e.g.,
macrophages and lymphocytes, produce an exacerbated immuneresponse that causes chronic complications.","['Salvinorin', 'Following']"
418,"Cannabinoid receptor 1(CB1) is expressed in neurons and immune cells, and its activation
has been shown to produce neuroprotective effects in ischemia.
Although salvinorin A is often referred to as a selective KOR agonist,computation studies have shown a high docking ef ﬁciency between
salvinorin A and CB1.","['receptor', 'Although', 'Cannabinoid']"
419,"Moreover, salvinorin A stimulation mayinduce the formation of functional heterodimers between the tworeceptors ( Xu et al., 2016 ).","['Moreover', 'receptor']"
420,"In fact, salvinorin A activation of
CB1 signaling has been shown to be necessary for mediatingvarious behavioral effects and physiological effects across animal
models ( Braida et al., 2007 ;Fichna et al., 2009 ).","['Braida', 'Fichna']"
421,"For instance,
salvinorin A at picomolar concentrations has been shown toinhibit LPS-stimulated macrophage production of nitrite, TNF-alpha, and IL-10, by activation of KORs and CB1 receptors
Frontiers in Pharmacology frontiersin.org 20Acero et al.","['Pharmacology', 'receptor', 'Frontiers', 'For']"
422,"10.3389/fphar.2023.1240295 (Aviello et al., 2011 ).The distinct contributions and synergistic
relationship between KORs and CB1 receptors merit detailedinvestigation and may inform the ongoing development ofsalvinorin A analogs.
Stroke is often modelled in vitro by inducing ischemia-like
conditions via an oxygen and glucose deprivation paradigm,which can be readily and simply applied to most tissue models.One notable model for stroke research is the commercially available
Flocel DIV-BBB3D system which supports a 3D co-culture of brain
endothelial cells and astrocytes, while also providing ﬂow and
permitting investigation of leukocyte transmigration ( Holloway
and Gavins, 2017 ).","['Aviello', 'Stroke', 'Gavins', 'The', 'One', 'Flocel', 'Holloway', 'receptor']"
423,"3D multi-cellular models such as this would
be ideal for more re ﬁned assessments of how salvinorin A protects
BBB integrity, and how distinct cell-types mediate this effect.
Although there is a plethora of in vitro and in vivo injury
paradigms, it is crucial to identify functional measures that re ﬂect
human brain injury-induced de ﬁcits.",['Although']
424,"For example, stroke patients often
experience cognitive fatigue and attention de ﬁcits during recovery
(Johansson and Rönnbäck, 2012 ;Barman et al., 2016 ).","['Barman', 'Johansson', 'For']"
425,"Here, Hosking et al.","['Hosking', 'Here']"
426,"developed a rodent model of willingness
to expend cognitive effort, by which a rat can either engage a low-effortand low-reward task or a high-effort and high-reward task ( Hosking
et al., 2016 ).",['Hosking']
427,"This model demonstrated that cortical network
recruitment directly re ﬂected willingness to engage in high-effort
tasks.",['This']
428,"Alternatively, nest-building activity in mice following stroke isa multi-faceted functional measur e of long-term sensorimotor and
cognitive de ﬁcits ( Yuan et al., 2018 ).","['Alternatively', 'Yuan']"
429,"This behavior is performed
naturally and spontaneously, so it would be ideal for assessing any
impairments to typical behavior an d cognition.",['This']
430,"These models allow for
contextually relevant assessme nt of stroke induced cognitive and
behavioral impairment and can help assess whether psychedelicsmight worsen or improve cognitive p rocessing, fatigue, and behavior
in patients at different stages o f recovery from brain injury.
4.2.3 Psychedelic-assisted therapy for brain injury
patients
It is crucial to consider that stroke and TBI patients are more
predisposed to developing a psychiatric disorder, e.g., SUD, MDD,or PTSD ( Kaplan et al., 2018 ;Ponsford et al., 2018 ).","['Ponsford', 'Kaplan', 'Psychedelic', 'These']"
431,"At present, it is
unclear whether this elevated risk is due to the neuropathology of
FIGURE 10
Review of possible mechanisms of action by which various psychedelic compounds may attenuate intestinal in ﬂammation.
Frontiers in Pharmacology frontiersin.org 21Acero et al.","['Review', 'Pharmacology', 'Frontiers']"
432,"10.3389/fphar.2023.1240295 brain injury or due to psychological stress following injury.
Regardless, it is possible the comorbid neuropathologies of braininjury and psychological disorders will modulate the ef ﬁcacy and
safety pro ﬁle of psychedelic-assisted psychotherapy.",['Regardless']
433,"For instance, it
is unclear whether changes in blood pressure and cerebrovascularactivity may introduce health risks in TBI patients.",['For']
434,"Notably, Davis et al surveyedUS Special Operations Forces Veterans treated with ibogaine and 5-MeO-DMT for psychological trauma and found that most patientsself-reported increased psychological ﬂexibility, reductions in
cognitive impairment, and reductions in symptoms of PTSD,depression, and anxiety, despite 82% of patients having sustainedhead injury ( Davis et al., 2020 ).","['Veterans', 'Davis', 'Notably', 'Special', 'Forces', 'Operations']"
435,"These results, and lack of adverse
outcomes, may indicate that there are not elevated risks within the
TBI patient population.",['These']
436,"Nonetheless, studies that control injury typeand severity (e.g., mild, moderate, and severe) will be necessary tohelp assess the ef ﬁcacy of psychedelic treatments for comorbid
psychiatric conditions in TBI patients.
To determine the ef ﬁcacy of psychedelics in comorbid patients,
researchers should combine animal models of psychiatric disorderswith TBI and stroke injury paradigms.",['Nonetheless']
437,"For instance, Perez-Garcia
et al.","['Garcia', 'Perez', 'For']"
438,"Yet, blast-exposurecould induce PTSD related traits in the absence of aphysiological stressor ( Perez-Garcia et al., 2016 ;Perez-Garcia
et al., 2019 ).","['Yet', 'Perez', 'Garcia']"
439,"While rat TBI models are often scienti ﬁcally
relevant, they are generally not translational, due to poorreplication of the head injury biomechanics (i.e., head rotational-
acceleration), brain mass, and neuroanatomy (i.e., gyrencephalic
with large white matter domains) that are drivers of TBI in humans.Accordingly, our lab utilizes a porcine model of head rotationalacceleration, which has been shown to produce the same tissuedeformation patterns, recovery delays, neuropathology, andinﬂammation pro ﬁles implicated in human TBI ( Cullen et al.,
2016 ;Wofford et al., 2021 ;Grovola et al., 2023 ).","['Grovola', 'While', 'Cullen', 'Accordingly', 'gene', 'Wofford']"
440,"This injury
paradigm could be applied in conjunction with a porcine
psychosocial chronic stress model that assesses the development
of a depressive phenotype using behavioral, endocrine, and gutbiomarkers.",['This']
441,"Researchers have already begun to utilize the porcinemodel and characterize changes in gene expression following asingle dose of psilocybin ( Donovan et al., 2021 ).","['gene', 'Researchers', 'Donovan']"
442,"Together, these
models will allow researchers to examine the therapeutic potentialfor psychedelics, as well as uncovering possible adverse side effectsand risks for TBI patients.
4.3 Psychedelic interactions in the
gastrointestinal tract
The GI tract regulates gut motility, local sensory processing,
epithelial and immune function, appropriate microbiota responses,appetite, metabolism, and CNS function via the “gut-brain axis ”
described earlier ( Morais et al., 2021 ).","['The', 'Morais', 'Psychedelic', 'Together']"
443,"Absorption and digestion-
related roles can also extend to the coordination of defenseprocesses, like diarrhea, constipation, and vomiting, to eliminatetoxic or indigestible substances or pathogenic microbes.",['Absorption']
444,"Collectively,this wide range of functions has major implications for various to
different aspects of clinical psychedelic administration.",['Collectively']
445,"Thisincludes identifying patients who do not respond to psychedelictherapy ( “non-responder patient populations ”), strategies to
minimize potential harm ( “harm reduction ”), and ways to
optimize therapeutic outcomes ( “beneﬁt maximization ”).
4.3.1 Intestinal in ﬂammation
Inﬂammatory bowel disease (IBD) is a chronic and debilitating
multifactorial disease that has increased with industrialization andresults in over $8 billion in healthcare-related costs annually in theUnited States alone ( Alatab et al., 2020 ).","['States', 'Thisincludes', 'Intestinal', 'Alatab']"
446,"It is generally characterized
by inﬂammation of the intestine (ulcerative colitis) or any part of the
GI tract (Crohn ’s disease), with 20% –50% of patients displaying
behavioral disturbances, e.g., depression, anxiety, and visceral pain,
that can predict relapse and disease severity ( Bisgaard et al., 2022 ).
Interestingly, nonsteroidal anti-in ﬂammatory drugs and
immunosuppressant therapy are commonly prescribed to patientsand can sometimes reduce behavioral symptoms.","['Bisgaard', 'Crohn', 'gene', 'Interestingly']"
447,"Conversely,cognitive behavioral therapy, mindfulness-based therapy andhypnotic therapy have moderate success for some IBD patientsin conjunction with dietary interventions ( Ehrmann et al., 2020 ).
Most treatment options for this disease, however, do not “cure ”it
but rather serve to manage symptoms.","['Ehrmann', 'Most', 'Conversely']"
448,"Relatedly, disorders of gut-brain interaction, mainly irritable bowel syndrome (IBS) are asigniﬁcant global health burden, affecting 40% of the population,
and are characterized by any combination of motility disturbance,visceral hypersensitivity, altered mucosal and immune function,altered gut microbiota, and altered CNS processing ( Keefer et al.,
2022 ).","['Relatedly', 'Keefer']"
449,"IBS is often associated with dysregulated serotonin signaling,
which regulated gut motility; patients fall into diarrhea,
constipation, or diarrhea and constipation subtypes.
In non-comorbid settings, antidepressants are emerging as
possible therapies for IBD and serotonergic drugs are currenttreatments for IBS ( Ehrmann et al., 2020 ).",['Ehrmann']
450,"Patients with IBS
receiving antidepressant treatment reported bene ﬁts with visceral
pain and gut motility ( Ehrmann et al., 2020 ).","['Patients', 'Ehrmann']"
451,"Similarly, several
psychedelics have demonstrated in vivo therapeutic effects in
attenuating intestinal in ﬂammation.",['Similarly']
452,"Ketamine reduced
histological damage after dextran sodium sulfate (DSS) treatment,a chemical method to induce epithelial damage in the ceca of miceand reduced local necroptosis, an in ﬂammatory cell death, as well as
TNF levels via NMDAR antagonism ( Fujita et al., 2021 ).","['Fujita', 'Ketamine']"
453,"DOI, a
psychedelic demonstrating the greatest ef ﬁcacy in attenuating
peripheral in ﬂammation of any approved therapeutic, was able to
reduce IL-6 and IL-1b levels in the small intestine, but not the colon,
via 5HT2A signaling ( Nau et al., 2013 ;Nau et al., 2015 ).",['Nau']
454,"DMT and
5Meo-DMT reduced IFNg and IL-17 production in T cells in vitro
by impairing pro-in ﬂammatory activation of human monocyte
derived dendritic cells via Sigmar-1 ( Szabo et al., 2014 ).
Salvinorin A reduced myeloperoxidase activity as well as grosshistological damage in both TNBS and DSS models of colitis thatwere accompanied by reduced visceral pain-related behaviors inmice in a KOR-dependent manner ( Fichna et al., 2012 ;Sałaga et al.,
2014 ).","['Salvinorin', 'Szabo', 'Sigmar', 'Fichna']"
455,"Finally, harmine inhibited nuclear translocation of NFkB
after LPS stimulation in murine macrophages in vitro (Liu et al.,
2017 ).","['Liu', 'Finally']"
456,"Notably, anti-in ﬂammatory action was not correlated with
antidepressant or anxiolytic activity and the doses used in these
Frontiers in Pharmacology frontiersin.org 22Acero et al.","['Notably', 'Pharmacology', 'Frontiers']"
457,"10.3389/fphar.2023.1240295 studies were sub hallucinogenic ( Flanagan and Nichols, 2022 ).","['Flanagan', 'Nichols']"
458,"We provide an overview of the possiblemechanisms by which psychedelic compounds may modulate
intestinal in ﬂammation in Figure 10 .",['Figure']
459,"An important consideration
is the heterogeneity of patients with these diseases; differentpsychedelics will not be effective for all clinical presentations andcould be potentially harmful for some (e.g., IBS-diarrhea patients),thus more in vivo mechanistic preclinical studies are needed to
understand how they work in the intestine and GI tract morebroadly ( Nichols, 2022 ).
4.3.2 Side effects
Common side effects of oral drugs, including psychedelics like
ayahuasca, ibogaine, and psilocybin mushrooms, include nausea,vomiting, diarrhea, and constipation.","['Side', 'Common', 'gene', 'Nichols']"
460,"Generally, nausea andvomiting processes are carried out by afferent vagal nerve signalsfrom the gut to different brain regions, with a major role for 5-HT
3,
an ion channel receptor, whereas diarrhea and constipation arelimited to the GI tract, speci ﬁcally epithelial tight junctions ( Mawe
and Hoffman, 2013 ).","['Generally', 'Hoffman', 'gene', 'receptor', 'Mawe']"
461,"While the exact mechanism behind these side
effects is not known, it is hypothesized that serotonin agonism bytheir psychoactive counterparts: DMT, noribogaine, and psilocin,respectively, in the intestine is the main driver, with a smallercontribution of non-psychoactive compounds like harmine inayahuasca and non-digestible chitin in psilocybin mushrooms.However, this does not fully explain how or why side effects varywidely among individuals and whether this correlates to
physiological or psychological changes in the brain.","['While', 'However']"
462,"Additionally,
MDMA-induced hyperthermia in rats is attenuated by antibiotictreatment, concurrent with a bloom of the bacterium P.",['Additionally']
463,"mirabilis in
non-antibiotic treated rats supporting the mediating role of the gutﬂora in mitigating dangerous side effects ( Ridge et al., 2019 ).
Enzymes that inactivate psychedelic compounds or that process
pro forms of psychoactive compounds are often expressed in thestomach, liver, and intestine.","['Ridge', 'enzyme', 'Enzymes']"
464,"Intestinal alkaline phosphatase, the
enzyme responsible for dephosphorylating psilocybin to psilocin, is
a common marker for differentiated intestinal epithelial cells.","['enzyme', 'Intestinal']"
465,"Peoplewith nonfunctional genetic mutations in cytochrome p450 genes,expressed in the liver and intestine, have higher serum levels of LSDat least 24 h post administration ( Vizeli et al., 2021 ).","['Vizeli', 'gene', 'Peoplewith']"
466,"Moreover,
individual features of the GI milieu, such as the gut microbiota andhost genetics may underlie differences in psychedelic ef ﬁcacy and
side effects.
4.3.3 Intestinal epithelium
While many studies have looked at direct immunological effects,
either in vitro, in vivo systemically, or in vivo in the intestine, studies
have overlooked the effects of psychedelics on all other cell types inthe intestine, most of which express serotonin receptors, forexample, ( Mawe and Hoffman, 2013 ).","['While', 'Moreover', 'Hoffman', 'gene', 'Intestinal', 'receptor', 'Mawe']"
467,"Kim and Ingber et al developed a micro ﬂuidic “Gut-on-a-
Chip ”technology where human Caco-2 epithelial cells are exposed
to physiological peristalsis-like motions to induce self-organizationof cells into 3D intestinal villi ( Kim and Ingber, 2013 ).","['Caco', 'Gut', 'Kim', 'Ingber', 'Chip']"
468,"Another
model, functional organoids, generated from intestinal stem cellsfrom human patients may also present a unique in vitro opportunity
to study intestinal in ﬂammation and side effects although
integration with other systems (microbial, immune, andneuronal) will require further optimization ( Min et al., 2020 ).
Gut-on-a-chip technology is ideal to assess the impact of
psychedelics on intestinal in ﬂammation under different
conditions (e.g., microbial colonization) and dissect mechanismsin a controlled manner not possible with existing in vitro orin vivo
models, while incorporation of organoids are useful for their clinicalrelevance ( Kim et al., 2012 ;Kim et al., 2016 ;Jalili-Firoozinezhad
et al., 2019 ;Angus et al., 2020 ).","['Gut', 'Jalili', 'Angus', 'gene', 'Another', 'Firoozinezhad', 'Kim', 'Min']"
469,"Overall, micro ﬂuidics and organoid
models could be novel and effective tools for researchers to
investigate applications of psychedelics as potent
immunosuppressive agents for the treatment of intestinaldisorders like IBD and IBS.
5 Conclusion
Research into psychedelics not only offers the promise to greatly
improve wellbeing across multiple patient populations but may
fundamentally challenge and inform novel theories ofconsciousness, our understanding of psychiatric disorders, andhow to treat them.","['Research', 'Conclusion', 'Overall']"
470,"These investigations may also inform further,unimagined clinical applications and guidelines for psychedelic use.
In fact, there are other potential applications that merit
consideration, including neurodegenerative disorders andneurotrauma, as well as the potential role of the enteric nervoussystem and microbiome.","['gene', 'These']"
471,"However, it is crucial to underline theimportance of proper usage, backed by the comprehensive FDAapproval process, with a keen emphasis on strong safety data, and aclear understanding of potential side effects prior to the prescriptionof these compounds for speci ﬁc disorders.",['However']
472,"We hope this review, bysummarizing the potential modes of action and novel therapeuticapplications, serves to expand the horizon for future pre-clinical andclinical investigations with psychedelic compounds.
Author contributions
VPA, SD, JO, KB, JB, and DKC determined the scope of the
review.",['Author']
473,"All authors contributed to the article and approved the
submitted version.
Funding
This work was partially supported by the National Science
Foundation Graduate Research Fe llowship Program (VPA, Grant
No.","['Funding', 'Graduate', 'This', 'All', 'Foundation', 'Grant', 'National', 'Program', 'Research', 'Science']"
474,"DGE-1845298), the Department of Veterans Affairs,
Frontiers in Pharmacology frontiersin.org 23Acero et al.","['Veterans', 'Affairs', 'Pharmacology', 'Department', 'Frontiers']"
475,"10.3389/fphar.2023.1240295 Rehabilitation Research, and Development (JO, IK2-RX003376)
and the National Institutes of Health (DKC, Grant No.","['Institutes', 'Rehabilitation', 'Health', 'Grant', 'National', 'Research', 'Development']"
476,"R01-NS117757).
Acknowledgments
The authors would like to acknowledge the continued
intellectual support of colleagues in the IntercollegiatePsychedelics Network non-pro ﬁt organization.","['Network', 'The', 'Acknowledgments']"
477,"The authors
would also like to acknowledge the intellectual support ofcolleagues at the Penn Psychedelics Collaborative working groupat the University of Pennsylvania.","['Penn', 'The', 'Collaborative', 'Pennsylvania', 'Psychedelics', 'University']"
478,"The schematics in Figures 3 –7
were created with BioRender.Conﬂict of interest
The authors declare that the research was conducted in the
absence of any commercial or ﬁnancial relationships that could be
construed as a potential con ﬂict of interest.
Publisher ’s note
All claims expressed in this article are solely those of the authors
and do not necessarily represent those of their af ﬁliated organizations,
or those of the publisher, the editors and the reviewers.","['Publisher', 'Figures', 'The', 'All']"
479,"Any productthat may be evaluated in this article, or claim that may be made by itsmanufacturer, is not guaranteed or endorsed by the publisher.
References
Aday, J.","['Aday', 'References', 'Any']"
480,"S., Bloesch, E.",['Bloesch']
481,"K., and Davoli, C.",['Davoli']
482,"Can psychedelic drugs attenuate
age-related changes in cognition and affect?",['Can']
483,Cogn.,['Cogn']
484,Enhanc.,['Enhanc']
485,"doi:10.1007/
s41465-019-00151-6
Agirman, G., and Hsiao, E.","['Agirman', 'Hsiao']"
486,"Cell
184, 2524 –2524.e1.",['Cell']
487,"doi:10.1016/j.cell.2021.03.022
Alatab, S., et al.",['Alatab']
488,"The global, regional, and national burden of in ﬂammatory
bowel disease in 195 countries and territories, 1990-2017: a systematic analysis for the
global burden of disease study 2017.",['The']
489,Lancet Gastroenterol.,"['Lancet', 'Gastroenterol']"
490,Hepatol.,['Hepatol']
491,"doi:10.
1016/S2468-1253(19)30333-4
Angus, H.",['Angus']
492,"K., Butt, A.",['Butt']
493,"G., Schultz, M., and Kemp, R.","['Kemp', 'Schultz']"
494,"Intestinal organoids
as a tool for in ﬂammatory bowel disease research.",['Intestinal']
495,Front.,['Front']
496,Med.,['Med']
497,"doi:10.3389/
fmed.2019.00334
Ardalan, M., Rafati, A.","['Rafati', 'Ardalan']"
498,"H., Nyengaard, J.",['Nyengaard']
499,"R., and Wegener, G.","['Wegener', 'gene']"
500,"Rapid
antidepressant effect of ketamine correlates with astroglial plasticity in the
hippocampus.",['Rapid']
501,Pharmacol.,['Pharmacol']
502,"doi:10.1111/bph.13714
Arie, E., Rosen, B., and Namdar, D.","['Namdar', 'Rosen', 'Arie']"
503,"Cannabis and frankincense at the judahite
shrine of arad.",['Cannabis']
504,"Tel Aviv 47, 5 –28.","['Tel', 'Aviv']"
505,"doi:10.1080/03344355.2020.1732046
Armijos, C., Cota, I., and González, S.","['Armijos', 'Cota']"
506,"Traditional medicine applied by the
saraguro yachakkuna: A preliminary approach to the use of sacred and psychoactiveplant species in the southern region of Ecuador.","['Traditional', 'Ecuador']"
507,Ethnobiol.,['Ethnobiol']
508,Ethnomed.,['Ethnomed']
509,"doi:10.
1186/1746-4269-10-26
Aviello, G., Borrelli, F., Guida, F., Romano, B., Lewellyn, K., De Chiaro, M., et al.
(2011).","['Aviello', 'Guida', 'Lewellyn', 'Borrelli', 'Romano', 'Chiaro']"
510,"Ultrapotent effects of salvinorin A, a hallucinogenic compound from Salvia
divinorum, on LPS-stimulated murine macrophages and its anti-in ﬂammatory action in
vivo.J.","['Ultrapotent', 'Salvia']"
511,Mol.,['Mol']
512,Med.,['Med']
513,"doi:10.1007/s00109-011-0752-4
Baggott, M.",['Baggott']
514,"J., Garrison, K.",['Garrison']
515,"J., Coyle, J.",['Coyle']
516,"R., Galloway, G.",['Galloway']
517,"P., Barnes, A.",['Barnes']
518,"J., Huestis, M.",['Huestis']
519,"Effects of the psychedelic amphetamine MDA (3,4-
methylenedioxyamphetamine) in healthy volunteers.",['Effects']
520,Psychoact.,['Psychoact']
521,"Drugs 51,
108–117.",['Drugs']
522,"doi:10.1080/02791072.2019.1593560
Bai, S., Guo, W., Feng, Y., Deng, H., Li, G., Nie, H., et al.","['Deng', 'Guo', 'Nie', 'Feng', 'Bai']"
523,Neurol.,['Neurol']
524,"Neurosurg.
Psychiatry 91, 21 –32.","['Psychiatry', 'Neurosurg']"
525,"doi:10.1136/jnnp-2019-320912
Bar-Kochba, E., Scimone, M.","['Kochba', 'Scimone', 'Bar']"
526,"T., Estrada, J.",['Estrada']
527,"B., and Franck, C.",['Franck']
528,"Strain and rate-
dependent neuronal injury in a 3D in vitro compression model of traumatic brain
injury.",['Strain']
529,Sci.,['Sci']
530,Rep.,['Rep']
531,"doi:10.1038/srep30550
Barbanoj, M.",['Barbanoj']
532,"J., Riba, J., Clos, S., Giménez, S., Grasa, E., and Romero, S.","['Grasa', 'Romero', 'Clos', 'Riba']"
533,"(2008).
Daytime Ayahuasca administration modulates REM and slow-wave sleep in healthy
volunteers.","['Daytime', 'Ayahuasca']"
534,Psychopharmacol.,['Psychopharmacol']
535,Berl.,['Berl']
536,"doi:10.1007/s00213-007-0963-0
Barman, A., Chatterjee, A., and Bhide, R.","['Barman', 'Bhide', 'Chatterjee']"
537,"Cognitive impairment and
rehabilitation strategies after traumatic brain injury.",['Cognitive']
538,Indian J.,['Indian']
